orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;natureza;indicador_de_orcamento;item_da_nota_fiscal;codigo_do_item;desc_do_item_de_material;desc_da_unid_de_fornecimento;unid_orcamentaria;elemento_item_de_despesa;qtde_na_nota_fiscal;valor_unitario_r;valor_total_r
1070 - GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MG;Nota fiscal;17.455.913/0002-86;VOAR AVIATION TAXI AEREO E MANUTENCAO LTDA.;1687;;1;Serviço;Despesa orçamentária;1;127248;SERVICO DE MANUTENCAO EM AERONAVE JATO, CESSNA C500 C550 BRAVO C650 (CITATION I, II, III, VII E BRAVO) E SUAS TURBINAS, INCLUINDO APLICACAO DE PECAS.;1,00 UNIDADE;1071;3935;1,0;2000,0;2000,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;02.881.877/0004-07;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;62190;1;1;Consumo;Despesa orçamentária;1;157295;"MALHA TUBULAR -  APRESENTACAO:   ROLO DE 20CM X 25 METROS; FINALIDADE:   TRATAMENTO SEQUELAS DE QUEIMADURAS E OUTRAS LESOES;";1,00 UNIDADE;2271;3010;20,0;23,0;460,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;02.881.877/0004-07;POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA;62190;1;1;Consumo;Despesa orçamentária;2;157309;"MALHA TUBULAR -  APRESENTACAO:   ROLO DE 25CM X 25 METROS; FINALIDADE:   TRATAMENTO SEQUELAS DE QUEIMADURAS E OUTRAS LESOES;";1,00 UNIDADE;2271;3010;20,0;34,5;690,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;12.927.876/0001-67;SOMA/MG PRODUTOS HOSPITALARES LTDA;382565;1;1;Consumo;Despesa orçamentária;1;229490;"TUBO ENDOTRAQUEAL -  TIPO:   ARAMADO COM BALONETE; NUMERO:   7,5 (32); MATERIA-PRIMA:   PVC TRANSPARENTE, RADIOPACO;";1,00 UNIDADE;2271;3010;25,0;10,7;267,5
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;12.927.876/0001-67;SOMA/MG PRODUTOS HOSPITALARES LTDA;382565;1;1;Consumo;Despesa orçamentária;2;229504;"TUBO ENDOTRAQUEAL -  TIPO:   ARAMADO COM BALONETE; NUMERO:   8,0 (34); MATERIA-PRIMA:   PVC TRANSPARENTE, RADIOPACO;";1,00 UNIDADE;2271;3010;25,0;10,7;267,5
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;12.927.876/0001-67;SOMA/MG PRODUTOS HOSPITALARES LTDA;382565;1;1;Consumo;Despesa orçamentária;3;229644;"TUBO ENDOTRAQUEAL -  TIPO:   DESCARTAVEL COM BALONETE; NUMERO:   6,0 (26); MATERIA-PRIMA:   PVC TRANSPARENTE, SILICONIZADO;";1,00 UNIDADE;2271;3010;50,0;2,75;137,5
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;12.927.876/0001-67;SOMA/MG PRODUTOS HOSPITALARES LTDA;382565;1;1;Consumo;Despesa orçamentária;4;229776;"TUBO ENDOTRAQUEAL -  TIPO:   DESCARTAVEL COM BALONETE; NUMERO:   6,5 (28); MATERIA-PRIMA:   PVC TRANSPARENTE, SILICONIZADO;";1,00 UNIDADE;2271;3010;50,0;2,75;137,5
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;68.920.222/0001-66;MN-IMP.EXP.COM.SUPR.TERAREAB.LTDA.EPP;17579;1;1;Consumo;Despesa orçamentária;1;1302973;"ELASTICO PARA TERAPIA -  FORMATO:   TUBO ELASTICO ATOXICO; RESISTENCIA:   FORCA DE 1,0 KG; VARIACAO:   0,3 KG PARA MAIS OU PARA MENOS; DIMENSOES:   1,5 M COMPRIMENTO, APROXIMADAMENTE (+/- 10%);";1,00 UNIDADE;2271;3010;6,0;30,0;180,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;68.920.222/0001-66;MN-IMP.EXP.COM.SUPR.TERAREAB.LTDA.EPP;17579;1;1;Consumo;Despesa orçamentária;2;1303309;"ELASTICO PARA TERAPIA -  FORMATO:   TUBO ELASTICO ATOXICO; RESISTENCIA:   FORCA DE 2,0 KG; VARIACAO:   0,3 KG PARA MAIS OU MENOS; DIMENSOES:   1,5 M COMPRIMENTO, APROXIMADAMENTE (+/- 10%);";1,00 UNIDADE;2271;3010;6,0;35,0;210,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;68.920.222/0001-66;MN-IMP.EXP.COM.SUPR.TERAREAB.LTDA.EPP;17579;1;1;Consumo;Despesa orçamentária;3;1303317;"ELASTICO PARA TERAPIA -  FORMATO:   TUBO ELASTICO ATOXICO; RESISTENCIA:   FORCA DE 2,5 KG; VARIACAO:   0,3 KG PARA MAIS OU MENOS; DIMENSOES:   1,5 M COMPRIMENTO, APROXIMADAMENTE (+/- 10%);";1,00 UNIDADE;2271;3010;6,0;40,0;240,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;68.920.222/0001-66;MN-IMP.EXP.COM.SUPR.TERAREAB.LTDA.EPP;17579;1;1;Consumo;Despesa orçamentária;4;1303333;"ELASTICO PARA TERAPIA -  FORMATO:   TUBO ELASTICO ATOXICO; RESISTENCIA:   FORCA DE 4,5 KG; VARIACAO:   0,3 KG PARA MAIS OU MENOS; DIMENSOES:   1,5 M COMPRIMENTO, APROXIMADAMENTE (+/- 10%);";1,00 UNIDADE;2271;3010;6,0;50,0;300,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;68.920.222/0001-66;MN-IMP.EXP.COM.SUPR.TERAREAB.LTDA.EPP;17579;1;1;Consumo;Despesa orçamentária;5;1303430;"ELASTICO PARA TERAPIA -  RESISTENCIA:   FORCA DE 4,5 KG; VARIACAO:   0,3 KG PARA MAIS OU MENOS; FORMATO:   FAIXA ELASTICA ATOXICA; DIMENSOES:   1,5 M COMPRIMENTO, APROXIMADAMENTE (+/- 10%);";1,00 UNIDADE;2271;3010;6,0;60,0;360,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;35.042.280/0001-85;LAVITAL MATERIAIS CIRURGICOS LTDA;59;;1;Serviço;Despesa orçamentária;1;68926;LOCACAO DE MICROSCOPIO CIRURGICO;1,00 UNIDADE;2271;3919;1,0;60000,0;60000,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;41.721.051/0001-90;TRAUMINAS DISTRIBUIDORA DE MATERIAIS CIRURGICOS HOSPITALARES LTDA;173;;1;Serviço;Despesa orçamentária;1;137189;SERVICOS MEDICOS ESPECIALIZADOS NAS AREAS DE NEUROLOGIA E NEUROCIRURGIA;1,00 UNIDADE;2271;3998;1,0;4200,0;4200,0
1320 - SECRETARIA DE ESTADO DA SAUDE;Nota fiscal;05.266.324/0003-51;SERQUIP - TRATAMENTO DE RESIDUOS MG LTDA;8093;;1;Serviço;Despesa orçamentária;1;21393;SERVICOES DE COLETA E TRATAMENTO DE EFLUENTES QUIMICOS E/OU RESIDUOS SOLIDOS;1,00 UNIDADE;4291;3959;1,0;4098,87;4098,87
1510 - POLICIA CIVIL DO ESTADO DE MINAS GERAIS;Outros;***.961.696-**;DIVINO SIMIAO APARECIDO BORGES;72026;;1;Serviço;Despesa orçamentária;1;4065;LOCACAO DE IMOVEL COMERCIAL -;1,00 MES;1511;3611;1,0;14732,2;14732,2
