orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;natureza;indicador_de_orcamento;item_da_nota_fiscal;codigo_do_item;desc_do_item_de_material;desc_da_unid_de_fornecimento;unid_orcamentaria;elemento_item_de_despesa;qtde_na_nota_fiscal;valor_unitario_r;valor_total_r
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;1;106089;AUXILIAR DE LIMPEZA - 22H, 30H, 36H, 40H OU 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2351;3703;2,8334;3995,7753;11321,63
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;2;106267;TRABALHADOR DA MANUTENCAO  PREDIAL E INSTALACOES (PERICULOSIDADE) - 40H OU 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2351;3703;1,0;8592,96;8592,96
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;3;63363;MOTORISTA DE VEICULO DE SERVICO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2351;3704;1,0;6481,05;6481,05
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;4;64416;PORTEIRO - 12X36 DIURNO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2351;3704;1,3334;6258,1145;8344,57
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;5;63975;PORTEIRO - 12X36 NOTURNO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2351;3704;2,0;7643,9;15287,8
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;6;63967;PORTEIRO - NOTURNO (18H AS 0H) - 36H;CARGA HORARIA 36,00 HORAS POR SEMANA;2351;3704;1,0;5542,14;5542,14
2350 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202618861;;1;Serviço;Despesa orçamentária;7;64483;ADICIONAL INSALUBRIDADE 40%;1,00 UNIDADE;2351;3705;1,0;1197,82;1197,82
2300 - DEPARTAMENTO DE ESTRADAS DE RODAGEM;Nota fiscal;24.605.227/0001-29;SEMPRE TELECOMUNICACOES LTDA;1153609;1;1;Serviço;Despesa orçamentária;1;135712;REDE IP MULTISSERVICOS ;1,00 UNIDADE;2301;4005;1,0;1972,33;1972,33
2300 - DEPARTAMENTO DE ESTRADAS DE RODAGEM;Nota fiscal;24.605.227/0001-29;SEMPRE TELECOMUNICACOES LTDA;1153650;1;1;Serviço;Despesa orçamentária;1;135712;REDE IP MULTISSERVICOS ;1,00 UNIDADE;2301;4005;1,0;2038,85;2038,85
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Outros;***.225.426-**;CLENO VICENTE RAMALHO JUNIOR;52026;;1;Serviço;Despesa orçamentária;1;4065;LOCACAO DE IMOVEL COMERCIAL -;1,00 MES;2011;3611;1,0;1700,0;1700,0
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Outros;***.918.976-**;CESIO ROSA PEREIRA;52026;;1;Serviço;Despesa orçamentária;1;4065;LOCACAO DE IMOVEL COMERCIAL -;1,00 MES;2011;3611;1,0;1250,0;1250,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;09.944.371/0003-68;SULMEDIC COMERCIO DE MEDICAMENTOS LTDA;76996;3;1;Consumo;Despesa orçamentária;1;1547410;"LOSARTANA POTASSICA -  PRINCIPIO ATIVO:   LOSARTANA POSTASSICA; CONCENTRACAO/DOSAGEM:   25 MG; FORMA FARMACEUTICA:   COMPRIMIDO REVESTIDO; APRESENTACAO:   .; COMPONENTE:   .;";1,00 UNIDADE;2271;3012;1020,0;0,1546;157,79
1010 - ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;Outros;***.795.556-**;LAURA BRAGANCA BASTOS GUIMARAES;222026;;1;Serviço;Despesa orçamentária;1;12440;SERVICOS DE MINISTRACAO DE CURSO DE CAPACITACAO E  TREINAMENTO DE PESSOAL EM AREA OPERACIONAL;HORA AULA;1011;3631;1,0;1127,0;1127,0
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Nota fiscal;50.429.810/0001-36;SAPRA LANDAUER SERVICO DE ASSESSORIA E PROTECAO RADIOLOGICA LTDA.;27559;;1;Serviço;Despesa orçamentária;1;13218;SERVICOS DE CONTROLE DE DOSIMETRIA INDUSTRIAL;1,00 ANO;2011;3998;1,0;180,0;180,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;04.522.343/0001-77;FARMACIA DE MANIPULACAO IDEAL FORMULAS LTDA;8211;;1;Consumo;Despesa orçamentária;1;1511416;"FORMULA OU ASSOCIACAO MANIPULADA -  PRINCIPIO ATIVO:   FUROSEMIDA; CONCENTRACAO/DOSAGEM:   2 MG/ML; FORMA FARMACEUTICA:   SOLUCAO ORAL; APRESENTACAO:   FRASCO 80 ML; COMPONENTE:   .;";FRASCO;2271;3012;10,0;19,9;199,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;03.945.035/0001-91;ACACIA COMERCIO DE MEDICAMENTOS LTDA;345747;;1;Consumo;Despesa orçamentária;1;1517503;"DEXMEDETOMIDINA -  PRINCIPIO ATIVO:   DEXMEDETOMIDINA, CLORIDRATO; CONCENTRACAO/DOSAGEM:   100 MCG/ML; FORMA FARMACEUTICA:   SOLUCAO INJETAVEL; APRESENTACAO:   FRASCO-AMPOLA 2 ML; COMPONENTE:   .;";FRASCO-AMPOLA;2271;3012;190,0;5,94;1128,6
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Nota fiscal;12.889.035/0002-93;INOVAMED HOSPITALAR LTDA;66648;1;1;Consumo;Despesa orçamentária;1;1488406;"METOPROLOL -  PRINCIPIO ATIVO:   METOPROLOL, SUCCINATO; CONCENTRACAO/DOSAGEM:   100 MG; FORMA FARMACEUTICA:   COMPRIMIDO DE LIBERACAO PROLONGADA; APRESENTACAO:   .; COMPONENTE:   .;";1,00 UNIDADE;2011;3012;1290,0;0,5388;695,18
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;20.209.036/0001-97;JEOVA JIREH GESTAO DE ESTOQUE EM LOGISTICA BR LTDA;2;;1;Serviço;Despesa orçamentária;1;36897;SERVICOS DE GESTAO LOGISTICA DE FARMACIA E ALMOXARIFADO HOS PITALAR E AMBULATORIAL;1,00 UNIDADE;2271;3975;1,0;380010,73;380010,73
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Nota fiscal;18.269.125/0001-87;BIOHOSP PRODUTOS HOSPITALARES SA;782929;1;1;Consumo;Despesa orçamentária;1;810606;"ELETRODO PARA ECG -  MATERIA-PRIMA:   TECIDO NAO TECIDO ESTERIL; TAMANHO:   MONITORIZACAO CARDIACA NEONATAL, LONGA PERMANENCIA;";1,00 UNIDADE;2011;3010;300,0;20,26;6078,0
1010 - ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;Nota fiscal;07.343.712/0001-52;MOBILE COMERCIO E SERVICOS EM TELECOMUNICACOES LTDA;4622026;;1;Serviço;Despesa orçamentária;1;29017;MANUTENCAO EM INFRA-ESTRUTURA DE TELECOMUNICACOES;1,00 UNIDADE;1011;3921;1,0;2584,67;2584,67
2010 - INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS;Nota fiscal;44.734.671/0022-86;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;999133;10;1;Consumo;Despesa orçamentária;1;1491695;"METADONA -  PRINCIPIO ATIVO:   METADONA, CLORIDRATO; CONCENTRACAO/DOSAGEM:   10 MG; FORMA FARMACEUTICA:   COMPRIMIDO; APRESENTACAO:   .; COMPONENTE:   .; VIA DE ADMINISTRACAO:   ORAL;";1,00 UNIDADE;2011;3012;700,0;1,16;812,0
1320 - SECRETARIA DE ESTADO DA SAUDE;Outros;01.980.768/0001-31;AZEVEDO DUARTE LTDA;52026;;1;Serviço;Despesa orçamentária;1;4065;LOCACAO DE IMOVEL COMERCIAL -;1,00 MES;4291;3920;1,0;27042,21;27042,21
1250 - POLICIA MILITAR DE MINAS GERAIS;Nota fiscal;22.558.670/0001-60;LIVRARIA DO PSICOLOGO E EDUCADOR LTDA;346672;;1;Consumo;Despesa orçamentária;1;747793;"MATERIAL PARA APLICACAO TESTE PSICOLOGICO -  TITULO:   TESTE DE PSICODIAGNOSTICO DE RORSCHACH; TIPO:   CONJUNTO DE LAMINAS DE RORSCHACH;";1,00 UNIDADE;1251;3007;1,0;1145,04;1145,04
1250 - POLICIA MILITAR DE MINAS GERAIS;Nota fiscal;22.558.670/0001-60;LIVRARIA DO PSICOLOGO E EDUCADOR LTDA;346672;;1;Consumo;Despesa orçamentária;2;1829580;"MATERIAL PARA APLICACAO TESTE PSICOLOGICO -  TITULO:   CUBOS DE CORSI + TESTE TOKEN  ; TIPO:   KIT COMPLETO;";1,00 UNIDADE;1251;3007;1,0;230,0;230,0
