orgao_emissor;tipo_de_documento;fornecedor_cnpj_cpf;fornecedor_nome_empresarial;numero;serie;sequencial;natureza;indicador_de_orcamento;item_da_nota_fiscal;codigo_do_item;desc_do_item_de_material;desc_da_unid_de_fornecimento;unid_orcamentaria;elemento_item_de_despesa;qtde_na_nota_fiscal;valor_unitario_r;valor_total_r
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;20.235.404/0001-71;DCB DISTRIBUIDORA CIRURGICA BRASILEIRA LTDA;105028;1;1;Consumo;Despesa orçamentária;1;1533746;"TOALHA CIRURGICA, DESCARTAVEL -  MATERIA-PRIMA:   FIBRAS MISTAS; DIMENSOES (L X C ):   28 CM X 35 CM (+ OU - 10% AREA TOTAL); COR:   BRANCA; GRAMATURA:   MINIMA 60 G; ESTERIL:   NAO; CARACTERISTICAS GERAIS:   AUTOCLAVAVEL, ATOXICA E SUPERABSORVENTE;";1,00 UNIDADE;2271;3010;8100,0;0,3448;2792,88
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;66.437.831/0001-33;HTS - TECNOLOGIA EM SAUDE, COMERCIO IMPORTACAO E EXPORTACAO LTDA;241686;1;1;Consumo;Despesa orçamentária;1;954179;"BOLSA PRESSORICA -  MATERIA-PRIMA:   POLIURETANO, TRANSPARENTE, RESISTENTE; IDENTIFICACAO:   SEM MANOMETRO, CAPACIDADE 500 ML; COMPONENTES:   COM BULBO 300 MMHG, TORNEIRA, PERA DE INSUFLACAO; FINALIDADE:   INFUSAO DE PRESSAO;";1,00 UNIDADE;2271;3010;20,0;95,0;1900,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;11.002.975/0001-75;TECVIDA COMERCIO E DISTRIBUICAO LTDA;34814;1;1;Consumo;Despesa orçamentária;1;935190;"DISPOSITIVO INTRAVENOSO PARA ACESSO PERIFERICO -  CATETER:   EXTERNO 22 G; MATERIA-PRIMA:   POLIURETANO, RADIOPACO, FLEXIVEL, ATOXICO; AGULHA:   COM BISEL TRIFACETADO; EMPUNHADURA:   COLORIDA; CAMARA DE REFLUXO:   TRANSPARENTE; CANULA:   TRANSPARENTE; MANDRIL:   SIM; SISTEMA SEGURANCA:   SIM;";1,00 UNIDADE;2271;3010;7000,0;2,04;14280,0
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;13.656.820/0004-20;SMITH & NEPHEW COMERCIO DE PRODUTOS MEDICOS LTDA.;578063;2;1;Consumo;Despesa orçamentária;1;1957929;"CURATIVO DE POLIURETANO -  COMPOSICAO:   ESPUMA POLIURETANEO REVESTIDA P/ FILME POLIURETANO; APRESENTACAO:   10 X 10CM APROXIMADAMENTE, SEM BORDA ADESIVA;";1,00 UNIDADE;2271;3010;600,0;8,53;5118,0
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;1;64483;ADICIONAL INSALUBRIDADE 40%;1,00 UNIDADE;2101;3705;1,0;2692,08;2692,08
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;2;106089;AUXILIAR DE LIMPEZA - 22H, 30H, 36H, 40H OU 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3703;1,0;4229,16;4229,16
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;3;106089;AUXILIAR DE LIMPEZA - 22H, 30H, 36H, 40H OU 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3703;1,0;4229,16;4229,16
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;4;63339;SUPORTE ADMINISTRATIVO - 30H, 36H, 40H OU 44H;CARGA HORARIA 40,00 HORAS POR SEMANA;2101;3704;2,0;5959,92;11919,84
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;5;63665;ORIENTADOR AMBIENTAL - 40H;CARGA HORARIA 40,00 HORAS POR SEMANA;2101;3704;2,0;5695,98;11391,96
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;6;106348;ORIENTADOR AMBIENTAL  - 44 HORAS  ;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;1,0;6187,86;6187,86
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;7;95117;AGENTE DE SERVICO DE PARQUE HABILITADO - (PERICULOSIDADE) - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,0;6538,47;13076,94
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;8;106356;ORIENTADOR AMBIENTAL - (PERICULOSIDADE)- 40H e 44 H ;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;1,0;7845,16;7845,16
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008877;1;1;Serviço;Despesa orçamentária;9;95109;AGENTE DE SERVICO DE PARQUE HABILITADO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;1,0;5207,96;5207,96
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;676633;1;1;Serviço;Despesa orçamentária;1;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;765,26;765,26
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;676633;1;1;Serviço;Despesa orçamentária;2;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;3526,4;3526,4
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000007960;1;1;Serviço;Despesa orçamentária;1;95109;AGENTE DE SERVICO DE PARQUE HABILITADO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,9;5207,9586;15103,08
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000007960;1;1;Serviço;Despesa orçamentária;2;106348;ORIENTADOR AMBIENTAL  - 44 HORAS  ;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,1;6187,8619;12994,51
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000007960;1;1;Serviço;Despesa orçamentária;3;106356;ORIENTADOR AMBIENTAL - (PERICULOSIDADE)- 40H e 44 H ;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;1,0;7845,16;7845,16
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;674827;1;1;Serviço;Despesa orçamentária;1;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;2366,85;2366,85
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008000;1;1;Serviço;Despesa orçamentária;1;106232;MANUTENCAO DE AREAS VERDES E VIVEIROS - 40H;CARGA HORARIA 40,00 HORAS POR SEMANA;2101;3703;2,0;3789,64;7579,28
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;674917;1;1;Serviço;Despesa orçamentária;1;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;771,8;771,8
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;1;106089;AUXILIAR DE LIMPEZA - 22H, 30H, 36H, 40H OU 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3703;1,0;4327,81;4327,81
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;2;64483;ADICIONAL INSALUBRIDADE 40%;1,00 UNIDADE;2101;3705;1,0;1377,44;1377,44
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;3;63665;ORIENTADOR AMBIENTAL - 40H;CARGA HORARIA 40,00 HORAS POR SEMANA;2101;3704;1,9;5828,8315;11074,78
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;4;63533;VIGIA DE PARQUE - 12X36 DIURNO (PERICULOSIDADE) - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,0;7720,46;15440,92
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;5;64335;VIGIA DE PARQUE - 12X36 NOTURNO (PERICULOSIDADE) - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,0;9608,11;19216,22
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000009269;1;1;Serviço;Despesa orçamentária;6;95109;AGENTE DE SERVICO DE PARQUE HABILITADO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,5667;5329,3606;13678,87
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008010;1;1;Serviço;Despesa orçamentária;1;64483;ADICIONAL INSALUBRIDADE 40%;1,00 UNIDADE;2101;3705;1,0;1330,88;1330,88
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008010;1;1;Serviço;Despesa orçamentária;2;106089;AUXILIAR DE LIMPEZA - 22H, 30H, 36H, 40H OU 44H;CARGA HORARIA 40,00 HORAS POR SEMANA;2101;3703;1,0;3845,85;3845,85
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008010;1;1;Serviço;Despesa orçamentária;3;95109;AGENTE DE SERVICO DE PARQUE HABILITADO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;0,9;5149,2777;4634,35
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008010;1;1;Serviço;Despesa orçamentária;4;95117;AGENTE DE SERVICO DE PARQUE HABILITADO - (PERICULOSIDADE) - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;0,1;6464,8;646,48
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008010;1;1;Serviço;Despesa orçamentária;5;106348;ORIENTADOR AMBIENTAL  - 44 HORAS  ;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;1,0;6118,14;6118,14
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;674800;1;1;Serviço;Despesa orçamentária;1;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;1136,59;1136,59
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Outros;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;676606;1;1;Serviço;Despesa orçamentária;1;66311;VALE-ALIMENTACAO - MGS;1,00 UNIDADE;2101;3705;1,0;2533,87;2533,87
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;41.227.007/0001-28;FARMACOR MATERIAIS E EQUIPAMENTOS CIRURGICOS LTDA;1128;1;1;Consumo;Despesa extra orçamentária;1;1672606;"LUVA DESCARTAVEL PROCEDIMENTOS NAO CIRURGICOS -  COMPOSICAO:   LATEX DE BORRACHA NATURAL; PO:   BIOABSORVIVEL; TAMANHO:   G; FORMATO:   AMBIDESTRA; TEXTURA:   LISA; APRESENTACAO:   EMBALAGEM 100 UNIDADES; ESTERIL:   NAO;";CAIXA;2271;3010;480,0;18,98;9110,4
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;33.169.991/0001-90;D C R SANTOS LTDA;2146;5;1;Consumo;Despesa orçamentária;1;1953;"COMADRE EM PLASTICO USO HOSPITALAR -  CAPACIDADE:   MINIMA DE 2 LITROS; MODELO:   COM ALCA;";1,00 UNIDADE;2271;3010;120,0;18,97;2276,4
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008489;1;1;Serviço;Despesa orçamentária;1;105678;PORTEIRO (COM SUBSTITUICAO) - 12X36 NOTURNO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,0;7196,89;14393,78
2100 - INSTITUTO ESTADUAL DE FLORESTAS-IEF;Nota fiscal;33.224.254/0001-42;MGS MINAS GERAIS ADMINISTRACAO E SERVICOS S/A;202600000008489;1;1;Serviço;Despesa orçamentária;2;95109;AGENTE DE SERVICO DE PARQUE HABILITADO - 44H;CARGA HORARIA 44,00 HORAS POR SEMANA;2101;3704;2,0;5207,96;10415,92
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;08.245.855/0001-94;MHEDICA SERVICE COMERCIO E MANUTENCAO LTDA;60333;1;1;Consumo;Despesa orçamentária;1;36315;"MICRONEBULIZADOR -  APLICACAO:   TRATAMENTO DE DOENCAS RESPIRATORIAS; MASCARA:   MASCARA FACIAL ADULTO; BOCAL:   PLASTICO ATOXICO;";1,00 UNIDADE;2271;3010;10,0;5,81;58,1
2270 - FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;Nota fiscal;29.650.220/0001-42;PRO CIRURGICA MATERIAIS HOSPITALARES LTDA;1519;1;1;Consumo;Despesa orçamentária;1;151718;"CANULA DESCARTAVEL PARA TRAQUEOSTOMIA -  TIPO:   COM BALONETE; NUMERO:   7,5; DIAMETRO CONEXAO:   15 MM; MATERIA-PRIMA:   PVC ATOXICO, SILICONIZADO, RADIOPACO; DIAMETRO INTERNO:   7,5 MM; DIAMETRO EXTERNO:   11,3 MM, APROXIMADAMENTE; COMPRIMENTO TOTAL:   73 MM, APROXIMADAMENTE; COMPONENTES (1):   MANDRIL DE ENTUBACAO; COMPONENTES (2):   PLACA FIXACAO C/ IDENTIF. DIAMETROS INT. E EXTERNO; COMPONENTES (3):   FITA DE FIXACAO; CARACTERISTICA ESPECIAL:   NAO APLICAVEL;";1,00 UNIDADE;2271;3010;30,0;12,7;381,0
